measurement number,Rep,Day,sample,image,Species,CO2,Area,Mean,Min,Max,Angle,metaxylem diam
1,3,10,3,C,M82,elevated,33.91,92.118,59.667,115.963,32.005,16.754
2,3,13,18,B,penn,elevated,15.991,68.929,48.292,85.549,-20.556,16.187
3,3,13,13,B,penn,ambient,20.963,134.619,72.75,173.333,57.724,21.157
4,3,13,8,C,M82,elevated,17.467,141.177,70.125,211.733,25.201,17.673
5,3,13,3,B,M82,ambient,20,134.189,65.519,177.346,57.995,19.151
6,3,10,18,C,penn,elevated,18,136.465,73.556,166.266,-23.629,17.464
7,3,10,13,A,M82,ambient,13.717,87.457,64.333,99.592,50.194,14.201
8,3,10,8,B,penn,ambient,14.876,143.227,60.436,210.492,-3.576,15.164
10,3,7,15,A,penn,ambient,18.86,103.771,58.75,138.617,50.906,19.166
12,3,7,11,A,penn,elevated,18.342,112.097,79.333,128.924,-60.945,19.128
13,3,7,3,C,M82,elevated,15.15,70.418,46.926,91.519,49.764,15.162
14,3,7,7,A,M82,ambient,16.289,180.831,85.667,232.958,57.995,17.08
1,4,13,18,B3,M82,elevated,21.042,103.136,34.667,207.37,92.386,22.027
2,4,13,13,B,penn,ambient,19.127,112.54,62.667,137.596,36.384,20.83
4,4,13,3,B3,M82,ambient,17.044,128.13,85.148,150.511,38.66,17.687
5,4,13,8,B,penn,elevated,19,87.395,59.333,100.167,90,18
6,4,7,13,B,penn,ambient,14.574,75.056,66.76,87.9,52.431,15.186
7,4,7,17,A,penn,elevated,15.149,59.974,48,67.857,54.462,15.783
8,4,7,3,A,M82,ambient,17.354,63.651,36.667,88.667,-2.862,18.204
10,4,7,8,B,M82,elevated,20.074,97.62,80.797,108.725,-177.51,21.07
11,4,10,13,A,penn,ambient,15.149,132.604,72.019,184.719,104.036,15.698
12,4,10,8,B,penn,elevated,19.359,67.704,49.235,73.152,114.228,19.9
13,4,10,3,A,M82,ambient,15.431,104.426,54.75,137.288,52.431,15.555
R2_D7_12B_20x,2,7,12,B,M82,ambient,15.624,84.93,54.167,106.497,-6.71,16.179
R2_D10_3C_20x,2,10,3,C,M82,ambient,15.919,108.672,52,150.618,-86.634,15.994
R2_D13_8B_20x,2,13,8,B,M82,ambient,16.492,95.736,41.667,112.778,-53.746,17.059
R2_D7_7B_20x,2,7,7,B,M82,elevated,16.389,72.156,54,94.852,120.964,16.358
R2_D10_8C_20x,2,10,8,C,M82,elevated,17.551,133.709,95.333,177.991,-62.103,17.772
R2_D13_14_A_20x,2,13,14,A,M82,elevated,18.172,149.685,73.213,198.918,-2.862,18.811
R2_D7_3E_40x,2,7,3,E,penn,ambient,6.738,94.937,65.1,131.743,-85.914,13.645
R2_D10_13C_20x,2,10,13,C,penn,ambient,15.576,61.623,42.704,71.457,-73.61,16.278
R2_D13_20A_20x,2,13,20,A,penn,ambient,15.576,55.872,44.222,65.163,47.49,15.354
R2_D7_17B_40x,2,7,17,B,penn,elevated,10.3,105.729,63.333,149.109,23.199,21.208
R2_D10_17D_20x,2,10,17,D,penn,elevated,20.089,113.21,58.37,157.444,-57.724,20.739
R2_D13_3B_20x,2,13,3,B,penn,elevated,22.852,87.149,21.852,108.191,-87.614,23.159
1,5,13,18,A,M82,elevated,17.909,173.789,60.222,230.222,49.399,17.902
2,5,13,3,A,M82,ambient,18.971,109.981,72.333,128.597,23.962,18.93
3,5,13,8,C,penn,elevated,18.491,82.898,61.556,97.772,78.111,18.356
4,5,7,13,A,penn,ambient,13.456,84.72,56.333,98.795,51.34,12.354
5,5,7,17,A,penn,elevated,21.4,106.961,87.5,113.864,84.806,21.357
6,5,7,3,A,M82,ambient,23.114,137.912,81.833,167.167,65.556,22.601
7,5,7,8,A,M82,elevated,16.233,118.195,61.167,138.723,82.405,15.217
8,5,13,13,A,penn,ambient,15.379,70.293,44,79.556,36.87,14.417
9,5,10,18,A,M82,elevated,21.679,207.48,111.667,241.222,-90,21.359
10,5,10,3,C,M82,ambient,17.294,100.53,61,138.823,40.236,16.696
11,5,10,13,A,penn,ambient,13.223,80.637,68,85.298,-23.199,13.847
12,5,10,8,A,penn,elevated,19.238,123.057,100.889,135.454,74.055,20.268
