image	sample.number	CO2	Tray	Species	plant	tissue	vessel_no	Area	Mean	IntDen	RawIntDen	radius	diameter	notes	MaxVessel
1R_4x	1	amb	1	Sly	1	primary	1	6970.553	199.61	1391393.516	935573	47.10409677	94.20819353		75
1R_4x	1	amb	1	Sly	1	primary	2	5044.616	179.956	907810.827	610412	40.07182482	80.14364965		75
1R_4x	1	amb	1	Sly	1	primary	3	3344.735	179.212	599415.526	403047	32.62916207	65.25832413		75
1R_4x	1	amb	1	Sly	1	primary	4	6145.152	187.648	1153124.628	775361	44.22739687	88.45479374		75
1R_4x	1	amb	1	Sly	1	primary	5	1887.269	171.541	323743.308	217685	24.50992412	49.01984825		75
1R_4x	1	amb	1	Sly	1	primary	6	4980.666	183.923	916058.894	615958	39.81702183	79.63404366		75
1R_4x	1	amb	1	Sly	1	primary	7	4995.538	188.619	942253.123	633571	39.87642326	79.75284652		75
1R_4x	1	amb	1	Sly	1	primary	8	2604.105	196.617	512010.708	344276	28.79083823	57.58167647		75
1R_4x	1	amb	1	Sly	1	primary	9	7798.929	202.031	1575624.628	1059450	49.82445386	99.64890772		75
1R_4x	1	amb	1	Sly	1	primary	10	2965.497	199.081	590374.777	396968	30.72372068	61.44744136		75
1R_4x	1	amb	1	Sly	1	primary	11	1881.321	186.145	350197.799	235473	24.47127037	48.94254073		75
1R_4x	1	amb	1	Sly	1	primary	12	8225.758	180.854	1487657.644	1000301	51.16971851	102.339437		75
1R_4x	1	amb	1	Sly	1	primary	13	3781.975	146.742	554974.717	373165	34.69639797	69.39279593		75
1R_4x	1	amb	1	Sly	1	primary	14	728.733	131.722	95990.482	64544	15.2303289	30.46065779		75
1R_4x	1	amb	1	Sly	1	primary	15	1643.367	206.188	338842.951	227838	22.87137868	45.74275736		75
1R_4x	1	amb	1	Sly	1	primary	16	6042.534	202.721	1224946.46	823654	43.85656518	87.71313037		75
1R_4x	1	amb	1	Sly	1	primary	17	3896.49	180.066	701624.033	471772	35.2177695	70.435539		75
1R_4x	1	amb	1	Sly	1	primary	18	1093.099	155.727	170224.569	114459	18.65326294	37.30652588		75
1R_4x	1	amb	1	Sly	1	primary	19	6484.236	201.144	1304263.831	876987	45.4312274	90.8624548		75
1R_4x	1	amb	1	Sly	1	primary	20	6878.346	201.263	1384359.012	930843	46.79151133	93.58302266		75
1R_4x	1	amb	1	Sly	1	primary	21	8309.042	194.929	1619677.275	1089071	51.42810723	102.8562145		75
1R_4x	1	amb	1	Sly	1	primary	22	1885.782	175.409	330782.272	222418	24.5002664	49.0005328		75
1R_4x	1	amb	1	Sly	1	primary	23	1342.951	179.089	240507.139	161717	20.6754584	41.3509168		75
1R_4x	1	amb	1	Sly	1	primary	24	646.936	163.625	105855.146	71177	14.35012629	28.70025258		75
1R_4x	1	amb	1	Sly	1	primary	25	5672.219	202.719	1149866.151	773170	42.49145072	84.98290144		75
1R_4x	1	amb	1	Sly	1	primary	26	3493.456	236.287	825459.548	555039	33.34668772	66.69337544		75
1R_4x	1	amb	1	Sly	1	primary	27	797.145	181.55	144721.892	97311	15.92919126	31.85838252		75
1R_4x	1	amb	1	Sly	1	primary	28	1023.2	153.635	157199.584	105701	18.04701293	36.09402585		75
