	date	Obs	HHMMSS	CO2	species	tray	plant	FTime	EBal.	Photo	Cond	Ci	FCnt	DCnt	Fo	Fm	Fo.	Fm.	Fs	Fv.Fm	Fv..Fm.	PhiPS2	Adark	RedAbs	BlueAbs	X.Blue	LeafAbs	PhiCO2	qP	qN	NPQ	ParIn.Fs	PS2.1	ETR	Trmmol	VpdL	CTleaf	Area	BLC_1	StmRat	BLCond	Tair	Tleaf	TBlk	CO2R	CO2S	H2OR	H2OS	RH_R	RH_S	Flow	PARi	PARo	Press	CsMch	HsMch	StableF	BLCslope	BLCoffst	f_parin	f_parout	alphaK	Status	fda	Trans	Tair_K	Twall_K	R.W.m2.	Tl.Ta	SVTleaf	h2o_i	h20diff	CTair	SVTair	CndTotal	vp_kPa	VpdA	CndCO2	Ci_Pa	Ci.Ca	RHsfc	C2sfc	AHs.Cs	Fv	PARabs	Fv.	qP_Fo	qN_Fo
1	16-Apr	1	15:38:20	ambient	penn	4	2	320.9999986	0	11.56502945	0.733366219	413.3511081	2	2	0	0	442.6621094	1806.305054	598.4525146	#DIV/0!	0.754935021	0.668686907	-1	0.87	0.92	10.44290352	0.875221452	0.06250859	0.885754254	4.080550414	-1	229.6708374	0.5	67.20732835	4.243461664	0.616428748	20.30775642	2	4.644859791	1	9.289719582	22.04209709	20.30775642	21.55736351	451.2615356	444.5278931	15.52131081	17.60814857	58.82295227	66.73168945	399.5271912	229.6708374	0.32053569	100.8215714	0.496242583	0.06709899	0.25	-1.355140209	7.355140209	1	0	0.159999996	111115	1.997635956	0.004243462	293.4577564	295.1920971	36.74733316	-0.526102222	2.391709956	23.72220472	6.114056147	21.17492676	2.522889506	0.679707494	1.775281208	0.747608298	0.429332845	41.67470824	0.929865402	75.60817294	442.8472406	0.0197452	0	201.0128437	1363.642944	0.668686907	#DIV/0!
2	16-Apr	2	15:41:55	ambient	penn	5	4	546.4999998	0	11.32956811	0.611214884	407.253176	3	3	0	0	446.8012695	1848.886719	588.8676147	#DIV/0!	0.758340376	0.681501517	-1	0.87	0.92	10.44290352	0.875221452	0.061363621	0.898674974	4.138051623	-1	229.5720062	0.5	68.46580434	3.983197941	0.685633427	20.64918518	2	4.644859791	1	9.289719582	22.02713776	20.64918518	21.55746078	449.8205566	443.2658081	15.46901703	17.42804527	58.67397308	66.10456085	399.5632629	229.5720062	0.607353389	100.8141937	0.581996977	0.080057517	0.75	-1.355140209	7.355140209	1	0	0.159999996	111115	1.997816315	0.003983198	293.7991852	295.1771378	36.73152018	-0.495697231	2.442627759	24.22900654	6.800961266	21.33816147	2.548274904	0.573482725	1.756994332	0.791280572	0.361635906	41.05690058	0.918756124	73.10309184	441.6193734	0.018754305	0	200.9263446	1402.085449	0.681501517	#DIV/0!
3	16-Apr	3	15:45:32	ambient	penn	6	4	760.499999	0	11.74042073	0.495190822	398.4592967	4	4	0	0	446.1872559	1833.657959	568.8546753	#DIV/0!	0.75666822	0.689770564	-1	0.87	0.92	10.44290352	0.875221452	0.063481358	0.911589182	4.109615268	-1	229.3082123	0.5	69.2169125	3.66915186	0.770217386	21.06506348	2	4.644859791	1	9.289719582	22.0063858	21.06506348	21.55721855	450.0344238	443.3425903	15.41257095	17.21779251	58.53098297	65.38652039	399.5052185	229.3082123	0.338996857	100.8091888	0.454097807	0.089237586	0.25	-1.355140209	7.355140209	1	0	0.159999996	111115	1.997526093	0.003669152	294.2150635	295.1563858	36.68931314	-0.459473364	2.505929083	24.85814152	7.64034901	21.53572464	2.579297819	0.470130404	1.735711697	0.843586122	0.295984745	40.16835849	0.898761602	70.19257611	441.6364497	0.018659927	0	200.6954665	1387.470703	0.689770564	#DIV/0!
4	16-Apr	4	15:50:10	ambient	M82	3	1	1018.499998	0	10.15699051	0.689322804	414.1324019	5	5	0	0	456.0791016	1741.208862	641.8922729	#DIV/0!	0.738067551	0.631352512	-1	0.87	0.92	10.44290352	0.875221452	0.055712866	0.855412911	3.817778224	-1	228.8092651	0.5	63.21694103	4.435118458	0.682196715	20.69181824	2	4.644859791	1	9.289719582	22.00964928	20.69181824	21.55514145	449.9724731	443.9029846	15.34493828	17.52600861	58.26493454	66.5464859	399.5642395	228.8092651	0.315099061	100.813324	0.455349028	0.097227469	0.25	-1.355140209	7.355140209	1	0	0.159999996	111115	1.997821198	0.004435118	293.8418182	295.1596493	36.6094816	-0.578640537	2.449051898	24.29293869	6.766930082	21.35073376	2.550239323	0.641706418	1.766855184	0.78338414	0.405088974	41.75006401	0.932934484	73.51484468	442.4269511	0.016877127	0	200.2587772	1285.129761	0.631352512	#DIV/0!
5	16-Apr	6	16:00:19	ambient	M82	4	2	1643.999998	0	10.8892326	0.53464485	404.8322779	7	7	0	0	447.0288086	1716.845215	603.5111084	#DIV/0!	0.73962195	0.648476692	-1	0.87	0.92	10.44290352	0.875221452	0.059353209	0.876767776	3.840569516	-1	228.8714752	0.5	64.94922874	3.807274061	0.74336515	20.79268646	2	4.644859791	1	9.289719582	21.95928001	20.79268646	21.55772209	450.3987122	444.1003418	15.19917011	17.07279015	57.8816452	65.01678467	399.4698181	228.8714752	0.409622163	100.8004532	0.432369292	0.157623664	0.5	-1.355140209	7.355140209	1	0	0.159999996	111115	1.997349091	0.003807274	293.9426865	295.10928	36.61943522	-0.474338931	2.464310134	24.44741126	7.37462111	21.37598324	2.554188559	0.505549317	1.720944984	0.833243575	0.318459607	40.80727708	0.911578398	70.8716507	442.5178975	0.017439699	0	200.3132248	1269.816406	0.648476692	#DIV/0!
6	16-Apr	7	16:05:07	ambient	M82	5	4	1921.999999	0	10.00942978	0.645719208	413.326563	8	8	0	0	449.074707	1679.275391	642.0524292	#DIV/0!	0.732578284	0.617661026	-1	0.87	0.92	10.44290352	0.875221452	0.054929575	0.843133137	3.739412094	-1	229.0027161	0.5	61.89830978	4.279257841	0.699631977	20.60780907	2	4.644859791	1	9.289719582	21.9017067	20.60780907	21.55730629	450.3863831	444.422821	15.12495422	17.23052216	57.79941177	65.84575653	399.4669495	229.0027161	0.533482075	100.7964325	0.360775054	0.157865897	0.25	-1.355140209	7.355140209	1	0	0.159999996	111115	1.997334747	0.004279258	293.7578091	295.0517067	36.64043375	-0.552118938	2.436407141	24.17156124	6.941039081	21.25475788	2.535276615	0.603752939	1.736775163	0.798501452	0.380904196	41.661843	0.930030015	72.58299272	442.9682314	0.016401049	0	200.4280896	1230.200684	0.617661026	#DIV/0!
7	16-Apr	8	16:11:35	ambient	M82	6	2	2315.499999	0	11.83795982	0.603496185	405.3426928	9	9	0	0	464.8359375	1789.870483	595.9730835	#DIV/0!	0.740296328	0.667030051	-1	0.87	0.92	10.44290352	0.875221452	0.064118769	0.901031149	3.850542394	-1	228.7667389	0.5	66.7768978	4.444948009	0.774018861	21.06912231	2	4.644859791	1	9.289719582	21.90634727	21.06912231	21.5553875	450.670166	443.7549133	15.00065517	17.18810463	57.30934906	65.66640472	399.4193115	228.7667389	0.397664517	100.7984924	0.37292105	0.154245749	0.25	-1.355140209	7.355140209	1	0	0.159999996	111115	1.997096558	0.004444948	294.2191223	295.0563473	36.6026774	-0.601437766	2.506553895	24.86697802	7.678873387	21.48773479	2.571731832	0.566682306	1.732535034	0.839196797	0.357309652	40.85793235	0.913438208	70.38108496	442.0345981	0.01884849	0	200.2215573	1325.034546	0.667030051	#DIV/0!
8	16-Apr	9	16:17:11	elevated	penn	2	1	2655.5	0	13.44952715	0.389157306	689.5367459	10	10	0	0	444.2873535	1776.533325	602.0645142	#DIV/0!	0.749913302	0.66110148	-1	0.87	0.92	10.44290352	0.875221452	0.072103461	0.881570548	3.99861331	-1	228.97052	0.5	66.24233888	3.324017355	0.878303856	21.31270599	2	4.644859791	1	9.289719582	21.89048767	21.31270599	21.55522537	765.0489502	757.0567627	14.89171314	16.52813339	56.94778442	63.20566177	399.5401001	228.97052	0.417210013	100.7976913	-0.054874361	0.178924933	0.5	-1.355140209	7.355140209	1	0	0.159999996	111115	1.9977005	0.003324017	294.462706	295.0404877	36.63528238	-0.414730369	2.544301544	25.24166487	8.713531476	21.60159683	2.589714833	0.37351051	1.665997688	0.923717145	0.234801158	69.50371209	0.910812478	66.16079915	755.1022514	0.011784251	0	200.3999109	1332.245972	0.66110148	#DIV/0!
9	16-Apr	10	16:23:17	elevated	penn	4	1	3025.499998	0	11.74716559	0.291139615	681.1422456	11	11	0	0	457.4519043	1832.661987	676.2556152	#DIV/0!	0.750389375	0.630998176	-1	0.87	0.92	10.44290352	0.875221452	0.063502981	0.840894338	4.006239716	-1	229.3514862	0.5	63.33118598	2.698929463	0.943676383	21.41528893	2	4.644859791	1	9.289719582	21.90910339	21.41528893	21.55576706	765.3001709	758.3952637	14.71038628	16.03972626	56.18711853	61.26461029	399.5425415	229.3514862	0.248818025	100.7916565	-0.217472017	0.179954901	0.25	-1.355140209	7.355140209	1	0	0.159999996	111115	1.997712708	0.002698929	294.5652889	295.0591034	36.69623697	-0.307791988	2.560346963	25.40237011	9.362643857	21.66219616	2.599330507	0.282292572	1.616670579	0.982659928	0.177206937	68.65345524	0.898136207	63.5064602	756.6881429	0.009859027	0	200.7333407	1375.210083	0.630998176	#DIV/0!
10	16-Apr	11	16:27:12	elevated	penn	8	1	3269.999998	0	12.05536478	0.499051359	708.3071761	12	12	0	0	458.6777344	1910.233276	664.9383545	#DIV/0!	0.759883916	0.65190725	-1	0.87	0.92	10.44290352	0.875221452	0.065070569	0.857903736	4.164652289	-1	229.237915	0.5	65.39736029	3.768592565	0.785684465	20.64564705	2	4.644859791	1	9.289719582	21.91511536	20.64564705	21.55524254	765.4660645	758.0012817	14.57904816	16.43456459	55.66315842	62.74756241	399.5283813	229.237915	0.316176802	100.7882385	0.090450346	0.1715969	0.5	-1.355140209	7.355140209	1	0	0.159999996	111115	1.997641907	0.003768593	293.795647	295.0651154	36.67806559	-0.462821068	2.442095281	24.22996291	7.795398321	21.2803812	2.539263768	0.47360871	1.656410816	0.882852952	0.298190785	71.38903261	0.934440605	68.83399077	756.2493728	0.010972821	0	200.6339408	1451.555542	0.65190725	#DIV/0!
