Rep,CO2,species,tray,plant,date collected,date weighed,root_mass_g,shoot_mass_g,root_shoot
6,amb,M82,3,3,4/21/14,5/11/14,0.4708,1.0913,0.431412077
6,amb,M82,7,1,4/21/14,5/11/14,0.5132,1.127,0.455368234
6,amb,M82,6,2,4/23/14,5/11/14,0.5287,1.2857,0.41121568
6,amb,M82,1,3,4/23/14,5/11/14,0.4388,1.0551,0.41588475
6,amb,M82,1,1,4/21/14,5/11/14,0.4696,1.0954,0.428701844
6,amb,M82,3,2,4/21/14,5/11/14,0.2295,0.5435,0.422263109
6,amb,M82,2,3,4/21/14,5/14/14,0.5289,1.2321,0.429267105
6,amb,M82,4,3,4/21/14,5/14/14,0.4629,1.1283,0.410263228
6,amb,M82,5,2,4/21/14,5/14/14,0.5565,1.2719,0.437534397
6,amb,M82,6,1,4/23/14,5/17/14,0.178,0.7872,0.226117886
6,amb,M82,2,4,4/24/14,5/17/14,0.6779,1.6098,0.421108212
6,amb,M82,8,3,4/23/14,5/17/14,0.5522,1.4555,0.379388526
6,amb,M82,8,2,4/22/14,5/17/14,0.4673,0.9045,0.516639027
6,amb,M82,4,2,4/24/14,5/19/14,0.1535,1.2395,0.123840258
6,amb,M82,3,1,4/24/14,5/19/14,0.58,1.4801,0.391865414
6,amb,M82,1,2,4/23/14,5/19/14,0.5026,1.22,0.411967213
6,amb,M82,6,4,4/24/14,5/19/14,0.6525,1.6005,0.407685098
6,amb,M82,7,4,4/23/14,5/20/14,0.713,1.4362,0.496448963
6,amb,M82,2,2,4/24/14,5/20/14,0.4631,1.2283,0.377025157
6,amb,M82,5,4,4/24/14,5/21/14,0.5916,1.5835,0.373602779
6,amb,M82,5,3,4/24/14,5/21/14,0.5628,1.4229,0.395530255
6,amb,M82,8,4,4/24/14,5/21/14,0.4907,1.2592,0.389691868
6,amb,M82,7,3,4/24/14,5/22/14,0.5016,1.2993,0.386054029
6,amb,M82,4,4,4/24/14,5/22/14,0.5049,1.2204,0.413716814
6,amb,penn,2,1,4/23/14,5/11/14,0.1184,0.381,0.310761155
6,amb,penn,8,3,4/23/14,5/11/14,0.2492,0.7441,0.334901223
6,amb,penn,5,2,4/21/14,5/11/14,0.1018,0.4579,0.222319284
6,amb,penn,2,3,4/21/14,5/11/14,0.1739,0.6381,0.272527817
6,amb,penn,2,4,4/21/14,5/11/14,0.2432,0.5103,0.476582403
6,amb,penn,8,2,4/21/14,5/11/14,0.1528,0.5022,0.30426125
6,amb,penn,1,4,4/21/14,5/14/14,0.1555,0.5894,0.263827621
6,amb,penn,6,2,4/21/14,5/14/14,0.0967,0.3666,0.263775232
6,amb,penn,7,1,4/21/14,5/14/14,0.0231,0.1309,0.176470588
6,amb,penn,3,4,4/22/14,5/17/14,0.1416,0.5568,0.254310345
6,amb,penn,4,3,4/23/14,5/17/14,0.0696,0.266,0.261654135
6,amb,penn,1,2,4/24/14,5/19/14,0.1497,0.5131,0.291755993
6,amb,penn,6,4,4/24/14,5/19/14,0.1427,0.6256,0.228101023
6,amb,penn,5,4,4/23/14,5/19/14,0.1647,0.5876,0.280292716
6,amb,penn,7,2,4/24/14,5/19/14,0.0803,0.3453,0.232551405
6,amb,penn,6,3,4/23/14,5/20/14,0.1528,0.4922,0.310442909
6,amb,penn,8,4,4/24/14,5/20/14,0.1714,0.4901,0.349724546
6,amb,penn,4,2,4/24/14,5/21/14,0.0315,0.1897,0.166051661
6,amb,penn,7,3,4/24/14,5/21/14,0.0677,0.2523,0.268331352
6,amb,penn,3,3,4/24/14,5/22/14,0.1657,0.5843,0.283587198
6,amb,penn,3,1,4/24/14,5/22/14,0.0555,0.2396,0.23163606
6,amb,penn,5,3,4/24/14,5/22/14,0.1232,0.4743,0.259751212
6,amb,penn,1,3,4/24/14,5/22/14,0.0715,0.2972,0.240578735
6,amb,penn,4,4,4/23/14,5/22/14,0.0848,0.3057,0.27739614
6,ele,M82,3,2,4/23/14,5/11/14,0.6106,1.7657,0.345811859
6,ele,M82,2,4,4/24/14,5/11/14,0.6185,1.6928,0.365370983
6,ele,M82,3,1,4/22/14,5/11/14,0.4954,1.739,0.284876366
6,ele,M82,2,2,4/21/14,5/11/14,0.6406,2.0183,0.317395828
6,ele,M82,8,3,4/21/14,5/11/14,0.4711,1.5903,0.296233415
6,ele,M82,1,3,4/21/14,5/11/14,0.3989,1.0807,0.369112612
6,ele,M82,7,2,4/21/14,5/11/14,0.5168,1.4953,0.345616264
6,ele,M82,4,2,4/21/14,5/14/14,0.5373,1.5801,0.34004177
6,ele,M82,5,1,4/21/14,5/14/14,0.5232,1.8168,0.287978864
6,ele,M82,5,3,4/23/14,5/17/14,0.5122,1.7301,0.296052251
6,ele,M82,6,3,4/23/14,5/17/14,0.518,1.5671,0.33054687
6,ele,M82,1,2,4/23/14,5/17/14,0.5985,1.5827,0.378151261
6,ele,M82,5,4,4/23/14,5/17/14,0.5587,1.6787,0.332817061
6,ele,M82,4,3,4/24/14,5/19/14,0.3309,1.4301,0.231382421
6,ele,M82,7,4,4/24/14,5/19/14,0.4985,1.4557,0.342446933
6,ele,M82,1,1,4/24/14,5/19/14,0.5842,1.6602,0.351885315
6,ele,M82,7,3,4/24/14,5/19/14,0.5054,1.3942,0.362501793
6,ele,M82,6,4,4/21/14,5/20/14,0.685,1.6155,0.424017332
6,ele,M82,4,4,4/24/14,5/20/14,0.5799,1.5095,0.384166943
6,ele,M82,3,4,4/24/14,5/20/14,0.5228,1.4453,0.36172421
6,ele,M82,6,1,4/24/14,5/21/14,0.5758,1.7832,0.322902647
