sample_name,rep,day,CO2,species,tissue,xylulose NIST,xylose,xylonolactone NIST,xylonic acid,vanillic acid,valine,uridine,urea,uracil,UDP-N-acetylglucosamine,tyrosine,tyramine,tryptophan,trisaccharide,trehalose,trans-4-hydroxy-L-proline,tocopherol alpha-,threonine,threonic acid,tagatose,sulfuric acid,sucrose,succinic acid,stigmasterol,stearic acid,squalene,spermidine,shikimic acid,serine,"sebacic acid, di(2-octyl) ester NIST",saccharic acid,ribulose-5-phosphate,ribose,ribonic acid,ribitol,raffinose,quinic acid,pyruvic acid,pyrophosphate,putrescine,pseudo uridine,"propane-1,3-diol NIST",proline,phytol,phosphoethanolamine,phosphoenolpyruvate,phosphate,phenylpyruvate,phenylalanine,pentitol,pentadecanoic acid,pelargonic acid,palmitoleic acid,palmitic acid,palatinitol,oxoproline,oxalic acid,ornithine,oleic acid,octanol NIST,octadecanol,O-acetylserine,N-methylalanine,nicotinic acid,nicotianamine,N-acetylmannosamine,N-acetyl-D-hexosamine,N-acetyl-D-galactosamine,myo-inositol,methyltetrahydrophenanthrenone NIST,methionine sulfoxide,methionine,methanolphosphate,melezitose,mannose-6-phosphate NIST,maltotriose,maltose,maltitol,malonic acid,malic acid,maleimide,maleic acid,lyxose,lyxitol,lysine,linolenic acid,linoleic acid methyl ester,linoleic acid,lignoceric acid,levoglucosan,leucine,lauric acid,lactulose,lactobionic acid,lactitol,lactic acid,isothreonic acid,isoleucine,isoheptadecanoic acid NIST,isocitric acid,isochlorogenic acid,inositol-4-monophosphate,hydroxylamine,hydroxycarbamate NIST,homoserine,hexuronic acid,hexose-6-phosphate,guanosine,glycolic acid,glycine,glycerol-alpha-phosphate,glycerol-3-galactoside,glycerol,glyceric acid,glutaric acid,glutamine,glutamic acid,glucose-6-phosphate,glucose-1-phosphate,glucose,galactose-6-phosphate,galactonic acid,galactinol,fumaric acid,fucose,fructose-6-phosphate,fructose,ferulic acid,ethanolamine,ethanol phosphate NIST,erythronic acid lactone,erythronic acid,enolpyruvate NIST,"dodecanoic acid, isopropanol ester NIST",dihydroxymalonic acid NIST,dihydroxyacetone,digalacturonic acid,dehydroascorbic acid,cytidine-5-monophosphate NIST,cyclohexylamine,cyanoalanine,conduritol-beta-expoxide,citrulline,citric acid,citramalic acid,cis-caffeic acid,cholesterol,chlorogenic acid,cerotinic aci,capric acid,butyrolactam NIST,beta-sitosterol,beta-mannosylglycerate,beta-glycerolphosphate,beta-gentiobiose,beta-alanine,benzoic acid,azelaic acid,aspartic acid,asparagine,arbutin,arachidic acid,aminomalonate,alpha-ketoglutarate,alanine-alanine,alanine,adipic acid,adenosine-5-monophosphate,adenosine,adenine,aconitic acid,acetophenone NIST,6-deoxyglucose,5-methoxytryptamine,5-hydroxynorvaline NIST,5'-deoxy-5'-methylthioadenosine,4-hydroxybenzoate,4-aminobutyric acid,3-phosphoglycerate,3-hydroxy-3-methylglutaric acid,"3,4-dihydroxycinnamic acid",2-monoolein,2-ketoglucose dimethylacetal NIST,2-isopropylmalic acid,"2,3-dihydroxypyridine",1-monostearin,1-monopalmitin,1-monoolein,1-methylgalactose NIST,1-kestose," 2,5-dihydroxypyrazine NIST"
R2 D06 amb M82 root_001,2,6,amb,M82,root,1744,13929,591,903,141,23838,1171,1536,222,495,15537,11009,3645,66,303,139,534,14489,9010,107,594,139535,11051,608,135560,437,7589,29154,25403,472,16784,240,33131,1881,904,854,39247,3139,21915,22316,551,401,5509,129,1772,209,123627,266,3794,36,4330,1409,424,36350,275,68293,1779,10288,544,360,271,53,781,2696,400,913,2666,395,195043,534,573,1988,41087,160,82,39,2649,377,87,577403,169,742,1172,903,10883,6269,550,11874,1931,1000,95881,2650,4986,553,471,2283,527,22737,21138,5942,460,2046,20921,1228,536,1493,3390,348,327,3898,9119,17632,101434,8217,9,84608,90676,14843,12311,92861,586,6610,32635,6222,2182,6614,502873,51,117217,79,116,432,158,61,31,496,321,751,177,348,98,158,2915,457149,452,423,2403,43884,220,159,684,3327,1116,207,2355,1626,1450,811,23163,5716,330,3001,105,685766,498,29060,363,1239,599,8379,920,1343,4740,264,393,553,164,9343,1057,123,4066,981,181,1528,124,1882,1347,3496,8681,726,792
R2 D06 amb M82 shoot_002,2,6,amb,M82,shoot,207,10122,91,121,42,21980,381,817,1411,199,7093,19839,14916,178,313,279,1137,15296,12365,120,9255,311257,3746,187,180967,240,3876,26395,61570,817,13264,127,2174,300,1297,252,49448,493,6147,16466,1633,703,1552,6146,636,1183,146515,183,6626,82,3756,2498,709,45407,10604,74540,1643,5479,7208,460,264,384,600,509,772,1986,569,179,336445,567,1181,2002,9409,268,58,55,4067,118,200,42173,384,255,740,347,14397,9940,154,30171,538,1190,27253,2578,3751,181,880,1183,166,17930,2216,2311,205,1336,18250,1571,78,2894,2230,946,334,4269,10230,16092,148741,4000,46,8787,80953,6475,10853,104608,206,1577,29036,791,1799,3766,1471244,80,9045,100,1042,510,237,79,144,217,131,2386,365,316,142,110,2763,76585,479,1437,4018,505377,110,266,1352,1054,895,286,912,1600,1737,400,27853,3632,1212,4064,327,431,668,64338,153,817,384,784,276,352,1843,525,123,195,86,3459,3169,41,13799,10818,3813,110,76,700,1153,4916,8082,201,1102
R2 D06 amb penn root_003,2,6,amb,penn,root,1191,7310,279,320,450,10935,3125,4993,491,297,2633,17089,946,285,585,667,342,4237,5524,189,3806,2317,15565,1042,389493,1055,6731,29185,23582,2804,5674,189,15137,1295,702,260,11930,4759,3976,8789,524,2242,2652,230,251,164,133537,309,1753,120,12038,4422,1519,102633,1533,40532,1889,6753,597,1777,737,113,1374,908,148,354,632,368,46093,967,318,201,31624,129,100,89,1357,377,150,950775,349,129,1774,155,2650,5243,845,6921,3965,1062,5116,3485,1692,571,548,9449,262,3956,26526,4653,110,1819,95948,4398,147,7864,491,950,557,14952,12799,34723,201478,4759,227,30350,26156,1014,9596,20349,126,1199,36818,5308,2626,1301,640425,243,135258,365,120,316,293,80,140,1018,417,421,417,992,110,185,536,267457,293,326,3412,6273,574,527,1240,3890,297,478,1187,868,5233,789,8929,7735,693,6696,113,588986,533,22180,983,105,112,10654,2352,3890,4658,398,386,279,230,3511,292,152,4089,2881,148,1327,96,2795,2764,5276,40052,257,491
R2 D06 amb penn shoot_004,2,6,amb,penn,shoot,409,18389,173,169,59,17266,267,1207,228,151,4004,18841,2551,361,533,148,1857,14737,22031,143,159,210681,9967,465,126166,178,4403,61056,42198,473,14366,76,1941,510,7922,56,69029,3927,5591,15273,330,574,2974,4345,409,192,74534,250,7129,450,2391,1874,599,41299,1580,87848,176,9847,3199,348,261,85,461,232,119,2273,723,207,351953,382,366,553,22982,38,26,34,905,192,49,501711,321,1162,1396,723,3375,12475,469,17484,440,428,5926,2279,1902,2035,445,1533,209,8819,717,7965,1116,977,22488,1818,475,1769,851,212,437,8287,5026,39182,88654,20637,17,54366,294038,1916,3306,48326,72,1740,21635,4591,1600,1339,542007,47,62407,98,444,419,128,77,256,300,116,1173,278,411,75,95,1259,673728,748,1119,4046,257148,108,191,805,1548,734,551,4645,682,1168,220,51419,2771,4066,2672,216,64288,409,104095,182,325,553,766,1315,2944,2557,355,212,262,143,1146,1617,39,10817,2532,1873,271,91,867,1077,10816,10839,91,611
R2 D06 ele M82 root_005,2,6,ele,M82,root,1435,9649,609,431,141,13807,1303,1115,318,273,13276,8309,2724,85,438,203,394,8246,7106,88,705,244891,10189,495,138410,431,2826,22976,21370,582,6303,196,30276,1781,571,786,26621,2015,15689,12144,300,381,3493,96,946,158,107216,327,2857,47,4174,1424,469,37002,3617,67313,1513,7169,1092,333,220,73,1278,2041,603,452,1391,438,153356,371,480,1550,15586,170,43,20,707,320,134,872442,157,599,779,539,7408,5146,558,12263,1924,887,62310,1491,4654,436,404,1665,512,11803,21067,3162,471,1283,22704,2011,372,4474,2249,390,259,2854,8648,16882,115347,7243,41,77589,81124,7590,9572,52004,98,6010,31772,4494,1634,4384,877814,49,110194,77,108,360,182,109,34,485,193,585,188,209,81,113,2671,191869,310,414,2449,24941,124,145,844,2784,896,190,1411,1333,1360,568,20907,3679,655,3127,102,505684,318,26299,247,409,2409,7585,637,1052,4078,193,321,388,109,6698,688,86,1963,840,58,1117,114,1133,1013,3098,16739,608,593
R2 D06 ele M82 shoot_006,2,6,ele,M82,shoot,309,17280,118,193,59,26414,737,910,336,328,9215,17750,15969,224,723,199,1424,18479,11496,586,1682,354818,7119,250,125862,303,4330,61687,59835,827,7520,140,2086,570,708,72,68098,477,10419,19744,641,615,6529,5186,400,519,137763,275,5401,118,2924,1890,425,34620,6311,53865,453,10225,6088,507,211,425,610,812,1040,1365,704,190,329235,706,1982,3570,11139,217,131,58,5469,142,421,321507,525,910,1325,445,11439,10771,65,27094,343,1289,34029,1084,3482,284,858,1039,147,22758,501,2782,169,835,20359,3303,219,2901,1721,551,154,4209,5216,22199,173000,6897,57,57739,179343,4998,5739,149436,1192,1929,24825,3193,10649,3073,893835,114,139088,116,1506,218,146,128,153,372,86,16006,320,271,159,103,2758,122619,587,1169,5223,332739,195,171,1642,1086,1744,120,898,2789,1696,459,51412,5340,1328,3381,270,529,687,75585,224,597,1749,1227,423,270,2951,338,166,189,97,10655,2700,38,7861,11708,2578,211,76,308,907,4693,7798,180,2067
R2 D06 ele penn root_007,2,6,ele,penn,root,1298,11464,277,258,349,26010,2388,4599,596,283,3446,23803,1071,107,423,726,178,5671,6999,98,2691,3644,17771,583,311132,721,8882,22055,29992,1333,4656,120,21338,1295,710,293,16226,6668,4178,14951,535,1830,5095,205,155,162,80529,468,2303,121,17693,6248,1247,101110,147,56220,2350,6363,3494,1111,434,86,6582,1134,347,276,1323,318,78781,1355,487,600,22916,115,115,92,1320,300,185,745102,261,825,620,505,4021,8109,873,23332,2976,768,12133,5526,1026,574,393,5923,275,6338,25504,2974,134,765,26651,2050,280,14031,407,1040,1082,6699,11252,29386,196464,5824,100,62087,43232,557,6899,46618,102,806,27966,7017,2210,605,1189209,141,126700,227,151,213,199,143,72,1301,92,519,232,1329,158,101,738,186345,393,330,2666,3742,409,505,519,2854,368,268,1337,600,4322,684,11731,2056,301,7107,121,280780,569,78512,798,92,93,14799,1393,3404,3905,292,326,270,194,13587,158,134,4625,3484,72,606,149,1672,2216,12471,56955,199,422
R2 D06 ele penn shoot_008,2,6,ele,penn,shoot,303,18100,133,169,27,23285,300,677,137,154,2872,16582,1222,159,173,108,1828,14174,30068,106,249,197526,9955,434,91252,191,1046,69254,27083,440,15430,58,686,423,5018,94,84512,3045,4636,10760,209,401,3456,4601,305,80,58125,116,6230,33,2497,1735,915,28204,605,70346,116,10150,325,251,175,147,602,189,32,2416,1018,154,361197,418,420,682,10592,50,26,31,978,128,122,484552,246,3672,1401,249,2902,5369,504,9986,282,463,6947,1471,1261,1135,317,962,196,7533,488,9539,934,845,11930,1993,458,1965,1004,155,349,3349,3765,30729,60494,10979,29,39077,286879,2362,2599,84672,76,1480,16071,7154,1419,1549,609891,40,54779,76,499,352,114,89,218,314,170,1330,170,229,76,115,1161,779875,629,1223,4021,256787,113,135,395,1525,422,361,2409,532,1087,152,70106,2075,3299,2006,121,45631,320,130885,158,189,306,535,2053,2307,1706,223,227,187,101,1367,354,26,12127,2001,2061,245,66,750,758,7546,13664,86,798
R2 D09 amb M82 root_009,2,9,amb,M82,root,788,9443,486,641,43,9060,264,479,167,341,22502,39070,1123,55,377,180,820,8309,10799,132,905,195519,7205,515,89073,88,116,32048,27139,563,43087,814,16037,614,1154,79,53496,2855,16153,12088,350,627,1507,74,1796,228,102378,355,5008,68,2894,2144,496,19200,532,71739,838,4041,502,400,182,175,533,2617,29,1651,2744,213,333927,700,346,711,4575,40,91,33,2479,362,103,736433,95,1466,889,583,4407,3825,274,5551,583,1578,23003,2602,2064,613,445,62,520,8996,10218,7052,67,845,35528,2057,134,1235,2943,101,172,3559,2545,11749,64514,2628,40,120805,63765,18563,11121,49824,769,2954,25964,8017,1306,9061,731339,46,44950,141,67,265,112,179,33,255,469,1115,469,230,66,218,1035,534877,712,225,2278,105362,48,190,732,3024,256,130,1785,1191,1313,383,15377,3103,257,1267,58,408954,619,19712,150,521,1052,984,1125,134,2882,34,187,296,79,5361,713,114,3118,2509,238,993,81,251,1461,2497,4726,130,797
R2 D09 amb M82 shoot_010,2,9,amb,M82,shoot,162,15311,193,256,38,11843,132,817,401,224,2641,7807,2305,193,1704,462,1529,12569,17966,255,834,223309,5925,391,100440,153,904,34512,33009,893,12203,168,1166,183,1583,130,64318,464,3121,11870,155,1195,2856,6944,193,64,133060,227,4998,86,2460,3808,354,17646,3326,53288,3524,3076,224,765,252,328,2523,469,367,4693,2875,202,379507,677,1058,144,6121,77,59,56,6247,156,152,912436,344,6537,878,176,1761,1302,128,876,490,642,10291,2825,1929,462,422,868,459,11106,5477,3147,151,371,17889,3161,647,2041,1065,157,389,12344,2312,3246,17872,6722,40,34356,112546,5894,5047,74848,139,1239,20229,15659,2094,3246,1279476,62,56266,108,1595,591,195,143,165,306,73,2921,169,274,95,141,1108,118603,827,2288,2943,129040,98,271,911,735,775,146,946,535,2039,170,50321,2861,455,1270,452,397,313,97370,176,67,270,498,449,333,3420,916,159,79,110,5509,274,37,21605,731,5136,199,70,635,831,757,12116,103,1321
